연도주차,확진자,사망자,격리해제,매출액,매출액증감,관객수,관객수증감,확진자 증감,아시아구독자증감
2020_08,602,5,18,28285.25865,0.4704374106898966,3.450081,49.01342896007369,682,0
2020_09,3134,13,12,2587.7972600000003,-9.93024522717054,0.325891,-958.6610246984419,2532,0
2020_10,3398,32,100,3706.4689200000003,0.3018160098318051,0.454074,28.229539678554595,264,0
2020_11,1028,25,704,4731.89781,0.2167056287295436,0.550387,17.49914151315347,-2370,0
2020_12,735,29,2075,6258.701620000001,0.24394896940301805,0.744346,26.05763986103237,-293,3.61
2020_13,686,48,2124,1674.86216,-2.736845795119045,0.214662,-246.75256915523005,-49,0
2020_14,654,31,1430,1387.1173,-0.207440899194322,0.166995,-28.543968382286888,-32,0
2020_15,275,31,905,1867.2558,0.2571358996448157,0.22738699999999998,26.55912607141129,-379,0
2020_16,149,20,674,2458.26078,0.2404159008711843,0.311875,27.09034068136273,-126,0
2020_17,67,8,675,2352.001,-0.04517845868262805,0.276466,-12.807723192001921,-82,0
2020_18,65,8,466,3278.71832,0.2826462140242654,0.40575300000000003,31.863473591076342,-2,0
2020_19,81,6,427,3404.2273,0.036868566326343735,0.444018,8.617893869167476,16,0
2020_20,176,6,278,1463.55522,-1.3259985366319147,0.200896,-121.01883561643838,95,0
2020_21,140,4,325,6843.042820000001,0.7861250822919736,0.778302,74.18791163327346,-36,0
2020_22,278,4,192,4865.2208,-0.40652256111377294,0.569859,-36.57799560944024,138,0
2020_23,308,1,166,2560.85364,-0.8998433662924994,0.33121100000000003,-72.05316248554549,30,0
2020_24,309,4,166,2397.32638,-0.06821234745683641,0.293015,-13.035510127467859,1,0
2020_25,336,3,150,4952.32068,0.5159185895045876,0.588448,50.20545570721626,27,2.65
2020_26,294,2,496,7034.4898,0.2959943335193976,0.837484,29.736209885800807,-42,0
2020_27,376,1,468,12674.498520000001,0.4449887079240433,1.538201,45.55431962402833,82,0
2020_28,326,6,346,6714.8935599999995,-0.8875203913135443,0.770718,-99.58026152237264,-50,0
2020_29,328,6,378,26004.77119,0.7417822479214053,3.0256979999999998,74.5275966074605,2,0
2020_30,405,3,334,14822.935230000001,-0.7543604412012264,1.8178009999999998,-66.44825258650425,77,0
2020_31,216,3,369,11383.81257,-0.3021064023017377,1.338697,-35.78883048217782,-189,0
2020_32,232,4,383,17783.10427,0.3598523408984094,2.049241,34.673520586402475,16,0
2020_33,720,0,268,5845.95524,-2.0419501244761498,0.666603,-207.41550818103133,488,0
2020_34,2081,4,290,7660.83353,0.2369035018047181,0.882375,24.453548661283474,1361,0
2020_35,2300,14,703,11174.19265,0.3144172675419195,1.2677200000000002,30.39669643138863,219,0
2020_36,1478,11,1243,24646.196119,0.5466159322904315,2.777355,54.355132851219956,-822,0
2020_37,999,24,2080,19349.76148,-0.27372092645557505,2.127148,-30.567078548366172,-479,1.01
