순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,배급사 
,,,,점유율 ,,,,,,,,
1,1917,2020-02-19,"951,525,200",12.7%,"7,469,840,660","110,312","825,239",364,"15,703",미국,미국,(주)스마일이엔티
2,라라랜드,2016-12-07,"417,290,260",5.6%,"30,655,876,408","76,145","3,703,053",387,"10,323",미국,미국,판씨네마(주)
3,엽문4: 더 파이널,2020-04-01,"624,512,300",8.3%,"624,512,300","72,155","72,155",206,"10,234",홍콩,홍콩,(주)키다리이엔티
4,주디,2020-03-25,"339,682,940",4.5%,"752,493,660","39,820","91,433",352,"8,892",영국,영국,TCO(주)더콘텐츠온
5,서치 아웃,2020-04-15,"293,477,940",3.9%,"293,477,940","33,705","33,705",355,"7,592",한국,한국,"(주)스톰픽쳐스코리아,(주)삼백상회"
6,인비저블맨,2020-02-26,"278,503,700",3.7%,"5,009,773,760","31,168","574,177",296,"6,383",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
7,오픈 더 도어,2020-04-08,"279,798,900",3.7%,"279,798,900","30,982","30,982",184,"5,631",러시아,러시아,(주)팝엔터테인먼트
8,건즈 아킴보,2020-04-15,"243,963,000",3.2%,"243,963,000","27,842","27,842",181,"4,376",영국,영국,와이드 릴리즈(주)
9,트롤: 월드 투어,2020-04-29,"190,424,060",2.5%,"190,424,060","26,232","26,232",228,"1,237",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
10,n번째 이별 중,2020-04-01,"224,523,800",3.0%,"225,227,800","24,826","24,890",171,"5,430",미국,미국,"(주)팬엔터테인먼트,(주)영화특별시에스엠씨"
11,저 산 너머,2020-04-30,"139,748,460",1.9%,"139,748,460","22,429","22,429",422,836,한국,한국,(주)리틀빅픽쳐스
12,나의 청춘은 너의 것,2020-04-29,"150,565,700",2.0%,"150,565,700","19,565","19,565",457,"1,448",대만,대만,"오드,(주)홈초이스"
13,비밀정보원: 인 더 프리즌,2020-04-15,"165,889,100",2.2%,"165,889,100","19,506","19,506",200,"3,482",영국,영국,(주)제이앤씨미디어그룹
14,유령선,2020-04-15,"160,896,260",2.1%,"160,896,260","18,338","18,338",165,"3,015",한국,한국,(주)엣나인필름
15,날씨의 아이,2019-10-30,"114,623,160",1.5%,"5,664,036,210","17,455","687,566",79,"2,000",일본,일본,"(주)미디어캐슬,워터홀컴퍼니(주)"
