●40주차 (2020년 09월 28일 ~ 2020년 10월 04일),,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,매출액,매출액증감,매출액증감율,누적매출액,관객수,관객수증감,관객수증감율,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
,,,,점유율,(전주대비),(전주대비),,,(전주대비),(전주대비),,,,,,
1,담보,2020-09-29,"7,088,485,600",36.6%,"7,083,742,600",149351.5%,"7,093,228,600","820,932","820,405",155674.6%,"821,459","1,342","29,740",한국,한국,(주)씨제이이엔엠
2,국제수사,2020-09-29,"3,750,735,980",19.4%,"3,747,286,480",108632.7%,"3,754,239,480","449,059","448,742",141559.0%,"449,376","1,074","25,494",한국,한국,(주)쇼박스
3,그린랜드,2020-09-29,"2,042,909,740",10.6%,"2,041,145,740",115711.2%,"2,044,673,740","238,756","238,560",121714.3%,"238,952",779,"12,456",미국,미국,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온"
4,테넷,2020-08-26,"1,313,615,430",6.8%,"-30,977,090",-2.3%,"16,814,141,100","143,808","-3,173",-2.2%,"1,827,158",848,"7,181",미국,미국,워너브러더스 코리아(주)
5,죽지않는 인간들의 밤,2020-09-29,"695,378,350",3.6%,"670,696,350",2717.4%,"722,802,350","85,135","82,555",3199.8%,"88,021",570,"9,351",한국,한국,TCO(주)더콘텐츠온
6,극장판 포켓몬스터 뮤츠의 역습 EVOLUTION,2020-09-30,"547,848,390",2.8%,"547,848,390",100.0%,"547,848,390","68,175","68,175",100.0%,"68,175",591,"4,389",일본,일본,(주)이수C&E
7,검객,2020-09-23,"555,700,830",2.9%,"-381,414,600",-40.7%,"1,494,580,260","65,816","-42,323",-39.1%,"174,151",774,"6,305",한국,한국,"(주)키위미디어그룹,오퍼스픽쳐스(유),(주)씨네필운"
8,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",2020-09-29,"1,836,424,500",9.5%,"1,835,934,500",374680.5%,"1,836,914,500","59,295","59,246",120910.2%,"59,344",106,"1,377",한국,한국,씨제이포디플렉스 주식회사
9,극장판 미니특공대: 햄버거괴물의 습격,2020-09-30,"295,317,180",1.5%,"292,230,180",9466.5%,"298,404,180","36,470","36,127",10532.7%,"36,813",414,"2,584",한국,한국,(주)리틀빅픽쳐스
10,브레이크 더 사일런스: 더 무비,2020-09-24,"292,492,000",1.5%,"-358,147,500",-55.0%,"943,131,500","34,624","-37,619",-52.1%,"106,867",183,"3,270",한국,한국,CGV ICECON
11,강철비2 : 정상회담 확장판,2020-09-30,"80,389,500",0.4%,"80,389,500",100.0%,"80,389,500","16,693","16,693",100.0%,"16,693",126,"1,108",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
12,오! 문희,2020-09-02,"124,512,760",0.6%,"-129,526,630",-51.0%,"2,687,983,100","16,634","-17,192",-50.8%,"335,382",339,"1,165",한국,한국,CGV아트하우스
13,디바,2020-09-23,"117,694,840",0.6%,"-625,109,200",-84.2%,"863,242,880","14,746","-73,261",-83.2%,"102,998",696,"3,396",한국,한국,메가박스중앙(주)플러스엠
14,아웃포스트,2020-09-23,"120,764,720",0.6%,"-160,090,250",-57.0%,"401,619,690","14,272","-18,798",-56.8%,"47,342",446,"1,491",미국,미국,(주)제이앤씨미디어그룹
15,뮬란,2020-09-17,"106,967,320",0.6%,"-496,926,050",-82.3%,"2,058,271,140","12,496","-56,736",-82.0%,"233,761",585,"2,065",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
16,해수의 아이,2020-09-30,"71,698,950",0.4%,"67,214,950",1499.0%,"76,182,950","8,080","7,799",2775.4%,"8,361",76,533,일본,일본,(주)영화사오원
17,극장판 엉덩이 탐정: 텐텐마을의 수수께끼,2020-09-24,"40,544,750",0.2%,"-16,191,070",-28.5%,"97,680,570","5,511","-2,148",-28.0%,"13,250",103,717,일본,일본,(주)넥스트엔터테인먼트월드(NEW)
18,기기괴괴 성형수,2020-09-09,"23,825,900",0.1%,"-95,042,500",-80.0%,"803,334,700","3,405","-10,128",-74.8%,"90,881",143,537,한국,한국,(주)트리플픽쳐스
19,프란시스 하,2014-07-17,"20,882,940",0.1%,"-3,432,940",-14.1%,"636,619,890","2,515",-419,-14.3%,"81,604",68,343,미국,미국,그린나래미디어(주)
20,다만 악에서 구하소서,2020-08-05,"13,409,710",0.1%,"-12,890,810",-49.0%,"38,593,324,490","2,250","-1,653",-42.4%,"4,356,646",32,129,한국,한국,(주)씨제이이엔엠
21,교실 안의 야크,2020-09-30,"17,269,440",0.1%,"13,468,440",354.3%,"21,070,440","1,973","1,486",305.1%,"2,460",30,162,기타,기타,주식회사 슈아픽처스
22,마르지엘라,2020-09-30,"16,815,090",0.1%,"16,815,090",100.0%,"16,815,090","1,841","1,841",100.0%,"1,841",31,164,기타,기타,하준사
23,도망친 여자,2020-09-17,"13,272,520",0.1%,"-9,757,380",-42.4%,"71,748,270","1,612","-1,160",-41.8%,"8,468",44,239,한국,한국,"(주)영화제작전원사 ,(주)콘텐츠판다"
24,다시 만난 날들,2020-09-24,"12,067,870",0.1%,"-8,076,440",-40.1%,"33,166,180","1,464",-573,-28.1%,"3,607",90,315,한국,한국,(주)영화사오원
25,보테로,2020-09-24,"10,062,240",0.1%,"-912,260",-8.3%,"21,036,740","1,344",140,11.6%,"2,548",30,194,캐나다,캐나다,(주)마노엔터테인먼트
26,우리가 이별 뒤에 알게 되는 것들,2020-09-30,"10,677,860",0.1%,"9,797,860",1113.4%,"11,557,860","1,308","1,253",2278.2%,"1,363",37,211,캐나다,캐나다,아이 엠
27,남매의 여름밤,2020-08-20,"9,652,180",0.1%,"1,855,928",23.8%,"162,420,942","1,133",275,32.1%,"19,433",17,93,한국,한국,그린나래미디어(주)
28,카일라스 가는 길,2020-09-03,"7,509,440",0.0%,"-4,797,960",-39.0%,"61,789,640","1,004",-822,-45.0%,"7,987",18,103,한국,한국,(주)영화사 진진
29,강철비2: 정상회담,2020-07-29,"2,112,000",0.0%,"-14,060,000",-86.9%,"14,655,366,110",946,"-7,035",-88.1%,"1,790,797",6,6,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
30,플레인 하이스트,2020-09-29,"4,211,000",0.0%,"4,211,000",100.0%,"4,211,000",851,851,100.0%,851,50,53,미국,미국,씨네쿼넌 픽쳐스
31,블러드 킬,2020-09-28,"4,114,500",0.0%,"3,945,500",2334.6%,"4,283,500",813,797,4981.3%,829,50,52,미국,미국,노바엔터테인먼트
32,테스와 보낸 여름,2020-09-10,"5,786,210",0.0%,"-4,674,790",-44.7%,"89,448,750",738,-447,-37.7%,"10,009",17,119,네덜란드,네덜란드,(주)팝엔터테인먼트
33,부활: 그 증거,2020-10-08,"6,155,440",0.0%,"2,382,660",63.2%,"11,328,220",713,270,60.9%,"1,306",6,51,한국,한국,(주)영화사 진진
34,공포분자,2020-09-17,"4,907,500",0.0%,"-4,050,450",-45.2%,"38,754,130",629,-473,-42.9%,"5,037",22,96,기타,기타,(주)에이썸엔터테인먼트
35,애프터: 그 후,2020-10-07,"6,261,000",0.0%,"6,261,000",100.0%,"6,261,000",564,564,100.0%,564,8,11,미국,미국,판씨네마(주)
36,천로역정: 천국을 찾아서,2019-06-13,"4,304,000",0.0%,"2,152,000",100.0%,"2,210,206,510",538,269,100.0%,"297,806",6,12,미국,미국,"(재)CBS,주식회사 마운틴픽쳐스"
37,드라이브,2011-11-17,"4,334,540",0.0%,"-1,249,320",-22.4%,"278,198,130",517,-178,-25.6%,"34,323",11,57,미국,미국,"주식회사 풍경소리,판씨네마(주)"
38,밥정,2020-10-07,"4,687,000",0.0%,"4,687,000",100.0%,"8,829,000",515,515,100.0%,"1,081",7,32,한국,한국,(주)엣나인필름
39,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,2020-08-20,"4,194,740",0.0%,"-11,511,120",-73.3%,"1,002,059,840",503,"-1,393",-73.5%,"122,979",31,71,일본,일본,(주)씨제이이엔엠
40,말괄량이 길들이기,,"804,000",0.0%,"804,000",100.0%,"2,851,000",402,402,100.0%,"1,418",1,9,이탈리아,"이탈리아,미국",
41,위 섬온 더 다크니스,2020-09-17,"1,901,000",0.0%,"-3,239,240",-63.0%,"15,305,320",377,-609,-61.8%,"2,976",6,37,미국,미국,(주)누리픽쳐스
42,프록시마 프로젝트,2020-10-15,"2,562,000",0.0%,"2,562,000",100.0%,"2,562,000",349,349,100.0%,349,5,20,프랑스,프랑스,(주)영화사 진진
43,바탄의 전투,,"576,000",0.0%,"576,000",100.0%,"3,103,000",288,288,100.0%,"1,307",1,9,미국,미국,
44,아가씨 손길을 부드럽게,,"532,000",0.0%,"532,000",100.0%,"532,000",266,266,100.0%,266,1,16,프랑스,"프랑스,이탈리아",
45,부베의 여인,,"507,000",0.0%,"507,000",100.0%,"5,137,000",251,251,100.0%,"2,551",1,9,이탈리아,"이탈리아,프랑스",
46,"어디갔어, 버나뎃",2020-10-08,"1,733,000",0.0%,"-1,691,000",-49.4%,"5,157,000",228,14,6.5%,442,1,5,미국,미국,"(주)디스테이션,(주)엔케이컨텐츠"
47,낙엽귀근,2020-09-24,"1,713,400",0.0%,"-1,550,580",-47.5%,"4,977,380",224,-165,-42.4%,613,21,52,중국,중국,주식회사 블루필름웍스
48,루브르박물관 기획특별전,2020-09-16,"2,662,000",0.0%,"-5,082,000",-65.6%,"27,408,000",205,-391,-65.6%,"2,110",20,51,프랑스,프랑스,씨제이포디플렉스 주식회사
49,애니멀 크래커,2020-08-05,"1,344,000",0.0%,"1,245,000",1257.6%,"1,027,379,740",192,177,1180.0%,"129,468",4,4,미국,미국,(주)이수C&E
50,그리드,2020-10-15,"1,517,000",0.0%,"1,517,000",100.0%,"1,517,000",187,187,100.0%,187,4,17,영국,영국,와이드 릴리즈(주)
51,고령가 소년 살인사건,2017-11-23,"1,829,500",0.0%,"1,811,500",10063.9%,"133,308,000",186,183,6100.0%,"10,172",3,9,대만,대만,(주)리틀빅픽쳐스
52,매지컬: 공주를 웃겨라,2020-09-17,"1,060,400",0.0%,"-4,729,570",-81.7%,"31,809,670",176,-617,-77.8%,"4,077",9,21,한국,한국,(주)에이원엔터테인먼트
53,뱅크시,,"1,339,500",0.0%,"1,339,500",100.0%,"1,339,500",159,159,100.0%,159,4,13,영국,영국,(주)마노엔터테인먼트
54,송 오브 러브,2020-09-10,"779,000",0.0%,"-1,072,480",-57.9%,"16,134,080",153,-207,-57.5%,"3,133",5,15,기타,기타,(주)누리픽쳐스
55,베로니카의 이중생활,1991-11-09,"1,177,500",0.0%,"-210,500",-15.2%,"31,538,100",142,-21,-12.9%,"3,836",3,9,프랑스,프랑스,"(주)영화사 안다미로,㈜영화사 백두대간"
56,후쿠오카,2020-08-27,"892,000",0.0%,"156,000",21.2%,"42,747,020",138,48,53.3%,"5,237",8,29,한국,한국,"(주)률필름,㈜인디스토리"
57,외출 3,2020-09-28,"672,000",0.0%,"672,000",100.0%,"672,000",134,134,100.0%,134,19,20,한국,한국,(주)영화사가을
58,하나 그리고 둘,2000-10-28,"1,245,000",0.0%,"1,104,000",783.0%,"86,966,600",132,114,633.3%,"9,251",4,11,대만,"대만,일본",(주)리틀빅픽쳐스
59,69세,2020-08-20,"918,500",0.0%,"-383,500",-29.5%,"71,371,690",124,-13,-9.5%,"8,711",8,31,한국,한국,(주)엣나인필름
60,세 가지 색 : 블루,1994-04-23,"1,102,000",0.0%,"-432,000",-28.2%,"25,514,800",122,-51,-29.5%,"3,329",5,15,프랑스,프랑스,"(주)영화사 안다미로,㈜영화사 백두대간"
61,살로메,,"234,000",0.0%,"234,000",100.0%,"3,975,000",117,117,100.0%,"1,982",1,6,미국,미국,
62,남과 여: 여전히 찬란한,2020-10-15,"853,500",0.0%,"-861,500",-50.2%,"2,568,500",111,-85,-43.4%,307,3,9,프랑스,프랑스,(주)팝엔터테인먼트
63,리스본행 야간열차,2014-06-05,"859,000",0.0%,"859,000",100.0%,"605,753,836",108,108,100.0%,"78,841",1,3,독일,"독일,스위스,포르투갈",(주)나이너스엔터테인먼트
64,맨슨 패밀리,2020-06-15,"117,000",0.0%,"117,000",100.0%,"2,059,000",105,105,100.0%,"1,969",1,2,영국,"영국,미국",(주)영화사 안다미로
65,벤허,1972-09-07,"206,000",0.0%,"206,000",100.0%,"308,990,812",103,103,100.0%,"52,593",1,6,미국,미국,(주)팝엔터테인먼트
66,블러드: 궁금한 이야기,2020-06-15,"112,000",0.0%,"112,000",100.0%,"1,948,000",100,100,100.0%,"1,858",1,2,영국,영국,(주)영화사 안다미로
67,무협: 더 코드,2020-06-22,"110,000",0.0%,"110,000",100.0%,"1,998,000",98,98,100.0%,"1,920",1,2,미국,미국,(주)영화사 안다미로
68,사냥의 시간: 데스 게임,2020-06-22,"109,000",0.0%,"109,000",100.0%,"1,978,000",97,97,100.0%,"1,896",1,2,미국,미국,(주)영화사 안다미로
69,살로메,2020-09-20,"2,490,500",0.0%,"-273,200",-9.9%,"7,141,400",95,-16,-14.4%,285,7,14,독일,독일,(주)케빈앤컴퍼니
70,카르멘,2019-09-14,"1,988,700",0.0%,"485,700",32.3%,"44,386,100",90,18,25.0%,"1,905",7,11,미국,미국,(주) 인스터 글로벌
