●20주차 (2019년 05월 13일 ~ 2019년 05월 19일),,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,매출액,매출액증감,매출액증감율,누적매출액,관객수,관객수증감,관객수증감율,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
,,,,점유율,(전주대비),(전주대비),,,(전주대비),(전주대비),,,,,,
1,악인전,2019-05-15,"12,952,131,180",43.3%,"12,775,382,580",7228.0%,"13,131,127,780","1,459,298","1,438,585",6945.3%,"1,480,292","1,307","29,531",한국,한국,"(주)에이스메이커무비웍스,(주)키위미디어그룹"
2,어벤져스: 엔드게임,2019-04-24,"6,036,529,390",20.2%,"-10,703,096,190",-63.9%,"117,805,056,120","654,108","-1,193,109",-64.6%,"13,453,640","1,545","26,196",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
3,걸캅스,2019-05-09,"5,365,221,860",17.9%,"235,053,806",4.6%,"10,535,045,914","635,857","48,413",8.2%,"1,227,825",942,"24,689",한국,한국,(주)씨제이이엔엠
4,명탐정 피카츄,2019-05-09,"1,501,319,050",5.0%,"-1,303,112,816",-46.5%,"5,303,782,566","181,270","-152,872",-45.8%,"635,128",649,"8,630",미국,미국,워너브러더스 코리아(주)
5,배심원들,2019-05-15,"1,354,543,920",4.5%,"1,174,256,600",651.3%,"1,565,578,240","168,462","148,219",732.2%,"192,178",784,"11,806",한국,한국,CGV아트하우스
6,나의 특별한 형제,2019-05-01,"1,234,973,140",4.1%,"-3,852,749,334",-75.7%,"11,750,432,864","155,388","-459,166",-74.7%,"1,430,791",741,"10,585",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
7,뽀로로 극장판 보물섬 대모험,2019-04-25,"240,638,150",0.8%,"-856,155,380",-78.1%,"5,784,039,050","31,085","-110,048",-78.0%,"752,508",234,"1,386",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
8,호텔 뭄바이,2019-05-08,"199,252,800",0.7%,"-89,942,800",-31.1%,"504,258,400","24,134","-10,260",-29.8%,"61,163",201,"2,164",호주,호주,"글뫼 주식회사,(주)에스와이코마드"
9,교회오빠,2019-05-16,"158,456,250",0.5%,"147,785,250",1384.9%,"188,033,250","18,239","17,026",1403.6%,"21,806",195,"1,024",한국,한국,커넥트픽쳐스(주)
10,서스페리아,2019-05-16,"169,748,970",0.6%,"168,389,970",12390.7%,"185,191,770","18,121","17,970",11900.7%,"19,684",257,"1,633",이탈리아,"이탈리아,미국",(주)홈초이스
11,나의 히어로 아카데미아 더 무비: 두 명의 히어로,2019-05-16,"96,364,380",0.3%,"94,324,380",4623.7%,"98,404,380","11,794","11,539",4525.1%,"12,049",85,569,일본,일본,(주)리틀빅픽쳐스
12,어린 의뢰인,2019-05-22,"37,759,000",0.1%,"13,512,000",55.7%,"111,339,000","5,309","2,525",90.7%,"13,593",17,29,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
13,물의 기억,2019-05-15,"31,684,400",0.1%,"25,948,400",452.4%,"42,040,400","5,308","4,352",455.2%,"7,034",108,683,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
14,벤 이즈 백,2019-05-09,"39,656,300",0.1%,"-10,119,440",-20.3%,"95,432,240","5,058","-1,022",-16.8%,"12,057",74,521,미국,미국,(주)팝엔터테인먼트
15,몬스터 랜드,2019-05-16,"33,351,220",0.1%,"30,669,220",1143.5%,"36,033,220","4,588","4,290",1439.6%,"4,886",197,549,프랑스,프랑스,와이드 릴리즈(주)
16,안도 타다오,2019-04-25,"31,827,380",0.1%,"-29,378,890",-48.0%,"243,105,520","3,980","-3,460",-46.5%,"29,520",32,269,일본,일본,(주)영화사 진진
17,논-픽션,2019-05-16,"28,450,580",0.1%,"27,010,580",1875.7%,"38,875,080","3,331","3,171",1981.9%,"4,586",44,244,프랑스,프랑스,(주)트리플픽쳐스
18,고양이 여행 리포트,2019-05-09,"25,144,180",0.1%,"-18,705,380",-42.7%,"84,427,740","2,969","-2,099",-41.4%,"10,130",66,411,일본,일본,아이 엠
19,판의 미로 - 오필리아와 세 개의 열쇠,2006-11-30,"24,211,000",0.1%,"-38,315,100",-61.3%,"2,964,037,548","2,860","-4,449",-60.9%,"492,577",28,277,스페인,"스페인,멕시코","(주)디스테이션,(주)프라임엔터테인먼트"
20,내 완벽한 남사친의 비밀,2019-03-27,"12,257,000",0.0%,"12,257,000",100.0%,"12,310,000","2,449","2,449",100.0%,"2,480",1,6,미국,미국,제인앤유
21,미스 스티븐스,2019-05-02,"20,714,210",0.1%,"-38,636,860",-65.1%,"152,461,630","2,429","-4,638",-65.6%,"18,439",38,240,미국,미국,(주)티캐스트
