●04주차 (2019년 01월 21일 ~ 2019년 01월 27일),,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,매출액,매출액증감,매출액증감율,누적매출액,관객수,관객수증감,관객수증감율,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
,,,,점유율,(전주대비),(전주대비),,,(전주대비),(전주대비),,,,,,
1,극한직업,2019-01-23,"27,359,558,550",68.4%,"27,222,308,550",19834.1%,"27,528,787,550","3,120,405","3,104,932",20066.8%,"3,139,563","1,978","47,854",한국,한국,(주)씨제이이엔엠
2,말모이,2019-01-09,"3,534,729,420",8.8%,"-5,215,416,692",-59.6%,"22,351,901,163","432,974","-606,675",-58.4%,"2,657,542","1,081","21,251",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
3,내안의 그놈,2019-01-09,"2,279,443,940",5.7%,"-4,862,567,681",-68.1%,"16,060,138,037","274,071","-557,602",-67.0%,"1,871,124",913,"16,625",한국,한국,"(주)메리크리스마스,TCO(주)더콘텐츠온"
4,러브 유어셀프 인 서울,2019-01-26,"1,729,030,700",4.3%,"1,729,030,700",100.0%,"1,729,030,700","182,103","182,103",100.0%,"182,103",224,"1,596",한국,한국,씨제이 씨지브이(CJ CGV)(주)
5,주먹왕 랄프 2: 인터넷 속으로,2019-01-03,"975,587,810",2.4%,"-1,065,799,880",-52.2%,"13,748,023,653","128,264","-136,419",-51.5%,"1,735,231",568,"5,510",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
6,글래스,2019-01-17,"1,024,975,150",2.6%,"-2,094,835,222",-67.1%,"4,152,897,522","112,753","-226,330",-66.7%,"452,460",735,"9,806",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
7,언더독,2019-01-16,"396,692,800",1.0%,"-468,937,320",-54.2%,"1,365,721,920","54,264","-56,518",-51.0%,"176,837",541,"3,568",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
8,보헤미안 랩소디,2018-10-31,"315,811,370",0.8%,"-392,108,700",-55.4%,"85,994,783,825","43,896","-37,235",-45.9%,"9,910,706",324,"2,558",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
9,그린 북,2019-01-09,"317,873,700",0.8%,"-323,003,250",-50.4%,"1,848,124,874","37,404","-36,275",-49.2%,"210,652",220,"1,947",미국,미국,CGV아트하우스
10,몬스터 파크,2019-01-23,"219,551,140",0.5%,"213,050,140",3277.2%,"226,052,140","29,802","29,033",3775.4%,"30,571",344,"2,095",영국,"영국,멕시코",(주)박수엔터테인먼트
11,극장판 공룡메카드: 타이니소어의 섬,2019-01-10,"198,855,990",0.5%,"-477,321,460",-70.6%,"3,111,646,880","26,450","-63,241",-70.5%,"406,019",313,"1,779",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
12,구스 베이비,2019-01-16,"167,869,830",0.4%,"-267,712,900",-61.5%,"615,476,560","24,605","-34,564",-58.4%,"85,110",341,"1,548",미국,미국,(주)이수C&E
13,미래의 미라이,2019-01-16,"182,637,890",0.5%,"-432,502,287",-70.3%,"825,390,867","23,665","-51,317",-68.4%,"101,650",436,"2,345",일본,일본,메가박스중앙(주)플러스엠
14,가버나움,2019-01-24,"166,941,956",0.4%,"160,503,956",2493.1%,"186,836,856","19,658","18,795",2177.9%,"21,869",111,744,기타,기타,"그린나래미디어(주),플레이리스트(주)"
15,아쿠아맨,2018-12-19,"132,838,930",0.3%,"-701,857,160",-84.1%,"44,093,109,834","16,363","-82,137",-83.4%,"5,035,598",300,"1,416",미국,"미국,호주",워너브러더스 코리아(주)
16,그대 이름은 장미,2019-01-16,"102,801,050",0.3%,"-403,280,770",-79.7%,"712,747,870","13,040","-47,854",-78.6%,"84,818",447,"1,930",한국,한국,(주)리틀빅픽쳐스
17,일일시호일,2019-01-17,"99,958,419",0.3%,"26,444,869",36.0%,"178,923,469","12,543","3,693",41.7%,"22,025",53,682,일본,일본,(주)영화사 진진
18,뺑반,2019-01-30,"85,436,100",0.2%,"85,436,100",100.0%,"85,436,100","8,896","8,896",100.0%,"8,896",34,48,한국,한국,(주)쇼박스
