순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,배급사 
,,,,점유율 ,,,,,,,,
1,백두산,2019-12-19,"52,905,789,770",28.3%,"52,905,789,770","6,290,502","6,290,502","1,971","99,915",한국,한국,"(주)씨제이이엔엠,(주)덱스터스튜디오"
2,겨울왕국 2,2019-11-21,"48,310,354,690",25.9%,"111,596,248,720","5,765,111","13,369,064","2,351","153,980",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
3,시동,2019-12-18,"21,236,477,800",11.4%,"21,236,477,800","2,525,986","2,525,986","1,515","58,603",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
4,포드 V 페라리,2019-12-04,"10,552,166,680",5.7%,"10,612,013,680","1,202,391","1,208,407",986,"40,143",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
5,쥬만지: 넥스트 레벨,2019-12-11,"8,774,663,410",4.7%,"8,774,663,410","1,054,963","1,054,963","1,195","42,083",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
6,천문: 하늘에 묻는다,2019-12-26,"7,808,242,950",4.2%,"7,808,242,950","965,624","965,624","1,198","25,734",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
7,캣츠,2019-12-24,"6,093,167,690",3.3%,"6,093,167,690","728,328","728,328","1,143","22,732",미국,"미국,영국",유니버설픽쳐스인터내셔널 코리아(유)
8,신비아파트 극장판 하늘도깨비 대 요르문간드,2019-12-19,"5,299,942,440",2.8%,"5,299,942,440","672,122","672,122",841,"13,762",한국,한국,(주)씨제이이엔엠
9,나이브스 아웃,2019-12-04,"5,608,637,210",3.0%,"5,648,860,210","662,874","667,411",686,"24,181",미국,미국,(주)올스타엔터테인먼트
10,감쪽같은 그녀,2019-12-04,"3,377,511,790",1.8%,"3,594,862,790","436,205","469,296",761,"24,670",한국,한국,메가박스중앙(주)플러스엠
11,블랙머니,2019-11-13,"2,476,021,720",1.3%,"20,863,134,010","300,412","2,478,964",763,"13,926",한국,한국,(주)에이스메이커무비웍스
12,나를 찾아줘,2019-11-27,"2,358,657,340",1.3%,"5,117,014,620","288,267","645,082",781,"16,130",한국,한국,워너브러더스 코리아(주)
13,라스트 크리스마스,2019-12-05,"2,049,348,130",1.1%,"2,058,391,130","248,320","249,323",623,"14,577",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
14,눈의 여왕4,2019-12-24,"1,044,574,960",0.6%,"1,044,574,960","143,853","143,853",541,"4,093",러시아,러시아,(주)넥스트엔터테인먼트월드(NEW)
15,미드웨이,2019-12-31,"1,085,659,520",0.6%,"1,085,659,520","133,373","133,373",777,"2,592",미국,미국,(주)누리픽쳐스
16,프린스 코기,2019-12-24,"1,028,933,300",0.6%,"1,028,933,300","132,958","132,958",455,"3,987",벨기에,벨기에,(주)이수C&E
17,아내를 죽였다,2019-12-11,"764,062,560",0.4%,"764,772,560","91,782","91,924",556,"9,086",한국,한국,케이티하이텔(주)
18,카운트다운,2019-12-12,"610,621,000",0.3%,"610,621,000","73,305","73,305",238,"3,938",미국,미국,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온"
19,크롤,2019-11-27,"436,379,550",0.2%,"1,126,287,080","53,187","140,336",570,"4,536",미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
20,러브 앳,2019-11-27,"418,016,500",0.2%,"745,125,500","51,385","93,085",143,"3,158",프랑스,"프랑스,벨기에",(주)크리픽쳐스
21,파비안느에 관한 진실,2019-12-05,"269,114,940",0.1%,"280,999,440","40,647","42,470",109,"1,925",프랑스,프랑스,(주)티캐스트
22,윤희에게,2019-11-14,"277,280,531",0.1%,"931,873,501","34,465","117,019",104,"1,883",한국,한국,(주)리틀빅픽쳐스
23,프란치스코 교황 : 맨 오브 히스 워드,2019-11-21,"179,293,780",0.1%,"273,031,260","24,982","37,282",29,589,이탈리아,"이탈리아,스위스,독일,프랑스","㈜영화사 백두대간,영화사 풀"
24,"미안해요, 리키",2019-12-19,"196,031,200",0.1%,"200,839,200","24,960","25,647",69,"1,060",프랑스,프랑스,(주)영화사 진진
25,굿 라이어,2019-12-05,"187,789,720",0.1%,"215,325,720","23,262","26,382",324,"2,912",미국,미국,워너브러더스 코리아(주)
26,"고흐, 영원의 문에서",2019-12-26,"130,990,960",0.1%,"130,990,960","16,691","16,691",68,572,미국,"미국,프랑스",(주)팝엔터테인먼트
27,82년생 김지영,2019-10-23,"131,096,840",0.1%,"30,298,542,310","16,454","3,678,156",166,890,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
28,두 교황,2019-12-11,"123,999,040",0.1%,"123,999,040","16,427","16,427",66,846,미국,"미국,영국,이탈리아,아르헨티나",판씨네마(주)
29,해치지않아,2020-01-15,"128,233,000",0.1%,"128,233,000","15,037","15,037",79,82,한국,한국,(주)에이스메이커무비웍스
30,신의 한 수: 귀수편,2019-11-07,"103,070,820",0.1%,"18,463,776,050","13,835","2,157,437",162,918,한국,한국,(주)씨제이이엔엠
31,극장판 타오르지마 버스터-블랙어썰트의 귀환,2019-12-05,"94,608,920",0.1%,"107,279,920","13,587","15,122",259,"1,091",한국,한국,(주)이수C&E
32,허슬러,2019-11-27,"111,918,880",0.1%,"356,771,960","13,108","43,809",382,"1,967",미국,미국,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온"
33,결혼 이야기,2019-11-27,"105,378,080",0.1%,"163,322,560","12,797","20,114",83,747,영국,영국,판씨네마(주)
34,아스테릭스: 마법 물약의 비밀,2019-12-12,"77,570,680",0.0%,"77,570,680","12,470","12,470",166,780,프랑스,프랑스,(주)박수엔터테인먼트
