신작수,연월,매출액 ,관객수 
147,20190101,151161.478196,18.122443
114,20190201,189990.80797,22.277733
142,20190301,126559.017449,14.671693
155,20190401,113184.664392,13.338962
152,20190501,154563.004957,18.062457
154,20190601,195237.798708,22.845579
158,20190701,184101.302717,21.916465
185,20190801,208958.173044,24.786121
166,20190901,124445.262708,14.733642
215,20191001,123754.7157,14.858383
174,20191101,155388.033415,18.600679
186,20191201,186644.820812,22.46462
165,20200101,143681.06143,16.843695
150,20200201,62303.64798,7.37237
154,20200301,15152.71895,1.834722
180,20200401,7515.66604,0.972572
157,20200501,12393.71504,1.526236
137,20200601,32760.1338,3.864533
170,20200701,47239.83365,5.618701
144,20200801,77214.053539,8.834741
159,20200901,26032.000372,2.98868
170,20201001,41527.92739,4.633636
157,20201101,32150.12075,3.595334
156,20201201,12404.34325,1.438873
132,20210101,15793.37704,1.786117
150,20210201,28738.93481,3.11192
205,20210301,30158.6653,3.25651
189,20210401,23544.30569,2.562393
150,20210501,41084.32605,4.38013
151,20210601,47026.65459,4.927998
57,20210701,44173.24191,4.410293
