●20주차 (2020년 05월 11일 ~ 2020년 05월 17일),,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,매출액,매출액증감,매출액증감율,누적매출액,관객수,관객수증감,관객수증감율,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
,,,,점유율,(전주대비),(전주대비),,,(전주대비),(전주대비),,,,,,
1,프리즌 이스케이프,2020-05-06,"393,929,020",16.7%,"193,927,040",97.0%,"593,931,000","44,818","21,821",94.9%,"67,815",529,"5,083",영국,"영국,호주",(주)이놀미디어
2,더 플랫폼,2020-05-13,"277,951,700",11.8%,"277,066,700",31307.0%,"279,736,700","29,579","29,487",32051.1%,"29,771",228,"2,827",스페인,스페인,(주)홈초이스
3,레이니 데이 인 뉴욕,2020-05-06,"239,163,180",10.2%,"-174,999,680",-42.3%,"658,996,240","27,224","-18,863",-40.9%,"73,952",498,"6,100",미국,미국,"그린나래미디어(주),(주)버킷스튜디오"
4,콜 오브 와일드,2020-05-14,"172,629,120",7.3%,"172,629,120",100.0%,"172,629,120","19,873","19,873",100.0%,"19,873",505,"3,590",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
5,저 산 너머,2020-04-30,"131,825,880",5.6%,"-146,894,180",-52.7%,"699,868,580","17,697","-17,979",-50.4%,"93,831",328,"3,005",한국,한국,(주)리틀빅픽쳐스
6,트롤: 월드 투어,2020-04-29,"130,436,020",5.5%,"-348,725,500",-72.8%,"1,044,889,540","16,968","-44,688",-72.5%,"135,739",229,"2,990",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
7,패왕별희 디 오리지널,2017-03-30,"142,511,540",6.1%,"-159,664,320",-52.8%,"666,490,340","16,092","-18,423",-53.4%,"74,460",368,"2,826",중국,중국,"(주)제이앤씨미디어그룹,(주)드림팩트엔터테인먼트"
8,톰보이,2020-05-14,"117,852,420",5.0%,"116,362,920",7812.2%,"130,751,920","12,849","12,666",6921.3%,"14,534",361,"2,172",프랑스,프랑스,(주)영화특별시에스엠씨
9,나의 청춘은 너의 것,2020-04-29,"81,682,100",3.5%,"-170,168,680",-67.6%,"684,834,420","9,650","-19,317",-66.7%,"80,873",286,"2,156",대만,대만,"오드,(주)홈초이스"
10,씨 피버,2020-05-13,"62,300,540",2.6%,"62,300,540",100.0%,"62,300,540","7,124","7,124",100.0%,"7,124",278,"1,764",아일랜드,"아일랜드,스웨덴,벨기에,영국",(주)팝엔터테인먼트
11,레미제라블: 뮤지컬 콘서트,2020-05-13,"100,165,320",4.3%,"94,053,320",1538.8%,"106,277,320","7,105","6,341",830.0%,"7,869",339,"2,160",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
