신작수,연월,매출액 ,관객수 
147,20190101,"151,161,478,196","18,122,443"
114,20190201,"189,990,807,970","22,277,733"
142,20190301,"126,559,017,449","14,671,693"
155,20190401,"113,184,664,392","13,338,962"
152,20190501,"154,563,004,957","18,062,457"
154,20190601,"195,237,798,708","22,845,579"
158,20190701,"184,101,302,717","21,916,465"
185,20190801,"208,958,173,044","24,786,121"
166,20190901,"124,445,262,708","14,733,642"
215,20191001,"123,754,715,700","14,858,383"
174,20191101,"155,388,033,415","18,600,679"
186,20191201,"186,644,820,812","22,464,620"
165,20200101,"143,681,061,430","16,843,695"
150,20200201,"62,303,647,980","7,372,370"
154,20200301,"15,152,718,950","1,834,722"
180,20200401,"7,515,666,040","972,572"
157,20200501,"12,393,715,040","1,526,236"
137,20200601,"32,760,133,800","3,864,533"
170,20200701,"47,239,833,650","5,618,701"
144,20200801,"77,214,053,539","8,834,741"
159,20200901,"26,032,000,372","2,988,680"
170,20201001,"41,527,927,390","4,633,636"
157,20201101,"32,150,120,750","3,595,334"
156,20201201,"12,404,343,250","1,438,873"
132,20210101,"15,793,377,040","1,786,117"
150,20210201,"28,738,934,810","3,111,920"
205,20210301,"30,158,665,300","3,256,510"
189,20210401,"23,544,305,690","2,562,393"
150,20210501,"41,084,326,050","4,380,130"
151,20210601,"47,026,654,590","4,927,998"
